"HOST_NAME","DISTRICT_CD","STATE_NAME","STATE_POSTAL_CD","LAST_UPD_DATE"
"nwisdmsjkn","28","Mississippi","MS",2012-08-12
"nwisdutslc","49","Utah","UT",2012-08-12
"nwisdcolka","08","Colorado","CO",2012-08-12
"nwisal","01","Alabama","AL",2012-08-12
"nwisak","02","Alaska","AK",2012-08-12
"nwisaz","04","Arizona","AZ",2012-08-12
"nwisar","05","Arkansas","AR",2012-08-12
"nwisca","06","California","CA",2012-08-12
"nwisma","09","Connecticut","CT",2012-08-12
"nwismd","10","Delaware","DE",2012-08-12
"nwismd","11","District of Columbia","DC",2012-08-12
"nwisfl","122","Florida","FL",2012-08-12
"nwisfl","123","Florida","FL",2012-08-12
"nwisfl","124","Florida","FL",2012-08-12
"nwisfl","125","Florida","FL",2012-08-12
"nwisga","13","Georgia","GA",2012-08-12
"nwishi","15","Hawaii","HI",2012-08-12
"nwisid","16","Idaho","ID",2012-08-12
"nwisil","17","Illinois","IL",2012-08-12
"nwisin","18","Indiana","IN",2012-08-12
"nwisia","19","Iowa","IA",2012-08-12
"nwisks","20","Kansas","KS",2012-08-12
"nwisky","21","Kentucky","KY",2012-08-12
"nwisla","22","Louisiana","LA",2012-08-12
"nwisma","23","Maine","ME",2012-08-12
"nwismd","24","Maryland","MD",2012-08-12
"nwisma","25","Massachusetts","MA",2012-08-12
"nwismi","26","Michigan","MI",2012-08-12
"nwismn","27","Minnesota","MN",2012-08-12
"nwisms","28","Mississippi","MS",2012-08-12
"nwismo","29","Missouri","MO",2012-08-12
"nwismt","30","Montana","MT",2012-08-12
"nwisne","31","Nebraska","NE",2012-08-12
"nwisnv","32","Nevada","NV",2012-08-12
"nwisma","33","New Hampshire","NH",2012-08-12
"nwisnj","34","New Jersey","NJ",2012-08-12
"nwisnm","35","New Mexico","NM",2012-08-12
"nwisny","36","New York","NY",2012-08-12
"nwisnc","37","North Carolina","NC",2012-08-12
"nwisnd","38","North Dakota","ND",2012-08-12
"nwisoh","39","Ohio","OH",2012-08-12
"nwisok","40","Oklahoma","OK",2012-08-12
"nwisor","41","Oregon","OR",2012-08-12
"nwispa","42","Pennsylvania","PA",2012-08-12
"nwisma","44","Rhode Island","RI",2012-08-12
"nwissc","45","South Carolina","SC",2012-08-12
"nwissd","46","South Dakota","SD",2012-08-12
"nwistn","47","Tennessee","TN",2012-08-12
"nwistx","48","Texas","TX",2012-08-12
"nwisut","49","Utah","UT",2012-08-12
"nwisma","50","Vermont","VT",2012-08-12
"nwisva","51","Virginia","VA",2012-08-12
"nwiswa","53","Washington","WA",2012-08-12
"nwiswv","54","West Virginia","WV",2012-08-12
"nwiswi","55","Wisconsin","WI",2012-08-12
"nwiswy","56","Wyoming","WY",2012-08-12
"nwispr","72","Puerto Rico","PR",2012-08-12
"nwisco","08","Colorado","CO",2012-08-12
